Date,Time,Open,High,Low,Last,Volume,
41641.0,0.381944444444444,23414.0,23414.0,23414.0,23414.0,325.0,
41641.0,0.385416666666667,23414.0,23444.0,23360.0,23401.0,1801.0,
41641.0,0.388888888888889,23401.0,23497.0,23384.0,23447.0,1606.0,23420.6666666667
41641.0,0.392361111111111,23449.0,23498.0,23447.0,23485.0,1042.0,23452.8333333333
41641.0,0.395833333333333,23489.0,23511.0,23451.0,23466.0,1297.0,23459.4166666667
41641.0,0.399305555555556,23466.0,23467.0,23405.0,23406.0,1248.0,23432.7083333333
41641.0,0.402777777777778,23405.0,23409.0,23339.0,23367.0,1609.0,23399.8541666667
41641.0,0.40625,23369.0,23375.0,23331.0,23362.0,1124.0,23380.9270833333
41641.0,0.409722222222222,23364.0,23382.0,23362.0,23380.0,441.0,23380.4635416667
41641.0,0.413194444444444,23380.0,23380.0,23356.0,23366.0,435.0,23373.2317708333
41641.0,0.416666666666667,23364.0,23374.0,23345.0,23362.0,499.0,23367.6158854167
41641.0,0.420138888888889,23364.0,23364.0,23324.0,23325.0,628.0,23346.3079427083
41641.0,0.423611111111111,23324.0,23327.0,23290.0,23299.0,1178.0,23322.6539713542
41641.0,0.427083333333333,23298.0,23353.0,23294.0,23342.0,951.0,23332.3269856771
41641.0,0.430555555555556,23341.0,23348.0,23334.0,23338.0,304.0,23335.1634928385
41641.0,0.434027777777778,23338.0,23345.0,23335.0,23340.0,227.0,23337.5817464193
41641.0,0.4375,23340.0,23350.0,23336.0,23339.0,325.0,23338.2908732096
41641.0,0.440972222222222,23340.0,23340.0,23225.0,23243.0,1866.0,23290.6454366048
41641.0,0.444444444444444,23244.0,23264.0,23194.0,23207.0,1445.0,23248.8227183024
41641.0,0.447916666666667,23208.0,23235.0,23174.0,23222.0,1226.0,23235.4113591512
41641.0,0.451388888888889,23221.0,23237.0,23195.0,23232.0,722.0,23233.7056795756
41641.0,0.454861111111111,23232.0,23237.0,23222.0,23231.0,353.0,23232.3528397878
41641.0,0.458333333333333,23232.0,23233.0,23201.0,23218.0,360.0,23225.1764198939
41641.0,0.461805555555556,23216.0,23244.0,23207.0,23222.0,519.0,23223.588209947
41641.0,0.465277777777778,23223.0,23235.0,23222.0,23230.0,244.0,23226.7941049735
41641.0,0.46875,23230.0,23247.0,23226.0,23227.0,278.0,
41641.0,0.472222222222222,23225.0,23225.0,23181.0,23184.0,683.0,
